lfdn;v_20;tag
1483;#VALUE!;NotAnswered
378;-;NotAnswered
1316;-;NotAnswered
1759;-;NotAnswered
912;Agile Scrum master;CSM
1200;Bachelor's degree;NotCodeable
263;BCS Business Analysis Foundation;BCS Business Analysis Foundation
147;BCS International Diploma in Business Analysis, IREB CPRE Foundation, Professional Scrum Master I, Professional Scrum Product Owner I;CPRE
147;BCS International Diploma in Business Analysis, IREB CPRE Foundation, Professional Scrum Master I, Professional Scrum Product Owner I;PSM
147;BCS International Diploma in Business Analysis, IREB CPRE Foundation, Professional Scrum Master I, Professional Scrum Product Owner I;PSPO
119;BEng & Doulos;Doulos
1457;BPM PROCESS ANALYST;BPM Process Analyst
48;BS in Computer Science;NotCodeable
141;Business System Analysis Certificate (BSAC), Schulich Business Analyst Masters Certificate;BSAC
141;Business System Analysis Certificate (BSAC), Schulich Business Analyst Masters Certificate;Schulich Business Analyst Masters Certificate
106;CBAP;CBAP
129;CBAP;CBAP
163;CBAP;CBAP
166;cbap;CBAP
831;Cbap;CBAP
837;CBAP;CBAP
75;CBAP, SAFe Agilist;CBAP
75;CBAP, SAFe Agilist;SAF3 Agilst
825;CCBA;CCBA
1416;CERTIFICATES OF VARIOUS COURSES;NotCodeable
1289;Certificatiosn for Tools and Methods;NotCodeable
1840;Certified architect from Dataföreningen in Sweden;Dataföreningen certified architect
315;Certified Professional for Requirements Engineering (Foundation and Advanced), Professional Scrum Product Owner, Professional Scrum Master, PMP;CPRE
315;Certified Professional for Requirements Engineering (Foundation and Advanced), Professional Scrum Product Owner, Professional Scrum Master, PMP;PSPO
315;Certified Professional for Requirements Engineering (Foundation and Advanced), Professional Scrum Product Owner, Professional Scrum Master, PMP;PSM
315;Certified Professional for Requirements Engineering (Foundation and Advanced), Professional Scrum Product Owner, Professional Scrum Master, PMP;PMP
1411;Certified Requirements Engineer Foundation and Advanced Level, Certified Srum Master and Product Owner;Certified Requirements Engineer Foundation and Advanced Level
1411;Certified Requirements Engineer Foundation and Advanced Level, Certified Srum Master and Product Owner;CSM
1411;Certified Requirements Engineer Foundation and Advanced Level, Certified Srum Master and Product Owner;CSPO
1741;Certified Scrum Master even if it is not specifically for my role;CSM
918;Certified Scrum Product Owner;CSPO
1617;Certified Scrum Product Owner;CSPO
909;Certified Scrum Product Owner - Certified IBM Rational Requirements Management w / Use Cases;CSPO
909;Certified Scrum Product Owner - Certified IBM Rational Requirements Management w / Use Cases;IBM Rational Requirements Manager w/ Use Cases
