;lfdn;v_250;v_279;tag
0;106;Communication flaws between the project and the customer;Lack of quality time;Workload of customer
1;150;Communication flaws between the project and the customer;Communication styles and misinterpretations;Communication flaws between team and customer
2;188;Communication flaws between the project and the customer;The Product Owner have zero Technical Knowledge and does not understand important decisions that need to be taken.;Missing technical knowledge
3;267;Communication flaws between the project and the customer;Not enough time;Lack of time
4;518;Communication flaws between the project and the customer;The client is usually lazy and sends the information of what they want a couple of days before the deadlines;Lack of discipline
5;640;Communication flaws between the project and the customer;"Conflicting priorities internally and deployment of changes that impact the project and vice versa; poor customer relations";Conflict of interests at management level
6;742;Communication flaws between the project and the customer;working silos;Lack of communication channels
7;945;Communication flaws between the project and the customer;Low formalization in the communication about requirements;Poor requirements elicitation techniques
8;1114;Communication flaws between the project and the customer;Customer not interested in participating in the project.;Missing engagement by customer
9;1126;Communication flaws between the project and the customer;Lack of definition of a formal and regular communication model between those involved in the project;Poor requirements elicitation techniques
10;1229;Communication flaws between the project and the customer;There are no periodic meetings to show the client the real progress, listen to their concerns and show the difficulties that could exist in the advance;Communication flaws between team and customer
11;1340;Communication flaws between the project and the customer;Inefficient organization;Poor project management
12;1542;Communication flaws between the project and the customer;I refer to customer as internal stakeholders: they have different ideas of what the system should and how, without really finding the need behind, also without considering that it is only 1 development team for at least 4 business units;Communication flaws between team and customer
13;1618;Communication flaws between the project and the customer;This results in not always delivering the feature or product that adresses the biggest need for the most customers.;Insufficient analysis at the beginnging of the project
14;1663;Communication flaws between the project and the customer;tries to save face/ Yes  answer to please the customer;Lack of experience of RE team members
15;1675;Communication flaws between the project and the customer;Overloaded customer liaison ;Workload of customer
16;1896;Communication flaws between the project and the customer;Customer is mostly non tech-savvy;Missing technical knowledge
17;58;Communication flaws within the project team;mistrust;Lack of trust
18;249;Communication flaws within the project team;"Lots of egos; Each member comes from a different background";Conflict of personalities
19;278;Communication flaws within the project team;lack of leadership capability;Lack of leadership
20;467;Communication flaws within the project team;lack of forums to talk and communicate problems and others;Lack of communication channels
21;482;Communication flaws within the project team;Sometimes proactive communication is missing ;Lack of teamwork skills
22;570;Communication flaws within the project team;"cultural differences; language differences; geographical separation; getting the right information to everybody that needs it";Language barriers
23;586;Communication flaws within the project team;X thougt Y knew or thouhgt Y should know instead of asking ;Communication flaws between team and customer
24;684;Communication flaws within the project team;Things can be built in the wrong way;Communication flaws between team and customer
25;694;Communication flaws within the project team;"lack of communication skills ; lack of soft skills in general that affect team interactions";Communication flaws between team and customer
26;868;Communication flaws within the project team;lack of models and techniques that increase the effectiveness of communication;Communication flaws between team and customer
27;929;Communication flaws within the project team;leadership deficiencies;Lack of leadership
28;1014;Communication flaws within the project team;less communication;Communication flaws between team and customer
29;1033;Communication flaws within the project team;The team must have covenants or combinations in the use of a methodology that fosters communication and proactiveness;Communication flaws between team and customer
30;1064;Communication flaws within the project team;Lack of requirement engineering competence:Lack of project management competence;Lack of requirements management
31;1221;Communication flaws within the project team;the client does not detail the whole process. sometimes it is necessary to observe;Unclear business needs
32;1291;Communication flaws within the project team;Language barrier;Language barriers
33;1339;Communication flaws within the project team;Conflict with daily activities;Lack of time
34;1344;Communication flaws within the project team;Changes in requirements;Lack of requirements management
35;1354;Communication flaws within the project team;Insufficient support by project leader;Lack of leadership
36;1411;Communication flaws within the project team;language barrier, cultural differences;Language barriers
37;1820;Communication flaws within the project team;Little empathy in the team;Lack of teamwork skills
38;1965;Communication flaws within the project team;Multiple people to work simultaneously / very technical profile of the people of the technology provider of the project team;Poor project management
39;147;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Roles and responsibilities are unclear;Poor project management
40;165;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;time elapse between specification writing and commissioning (several years);Insufficient agility
41;208;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;see timeboxing;Lack of time
42;313;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Although all team members are meant to review requirements, time pressure means some team members do not consider them properly.;Lack of time
43;442;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;risk aversion caused by patterns of business: reputational risk is very careful;Poor project management
44;649;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;time and cost restraints;Lack of time
45;984;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Regulatory and mainly resources for innovation;Insufficient agility
46;1080;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Culture is formed by people who perform the same process for years and the change faces the disinterest in providing reliable instructions.;Process doesn't allow for innovation
47;1161;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;They want to automate everything;Missing IT project experience at customer side
48;1167;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;The product owner does not provide enough support to clarify requirements;Insufficient collaboration in process
49;1296;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Natural tension there;Process doesn't allow for innovation
50;1353;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Technical limitations are not clarified during elicitation;Unclear terminology
51;1963;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;x;NotCodable
52;378;Gold plating (implementation of features without corresponding requirements);missing assignement of expected business value to requirement;Gold plating
53;393;Gold plating (implementation of features without corresponding requirements);too many levels between end users and developers;Communication flaws between team and customer
54;896;Gold plating (implementation of features without corresponding requirements);not request features Implementation;Gold plating
