lfdn;v_27;tag
30;Since the application that the project developed is a build-to-order manufacturing system, all features that the application provides are ones that a customer really requires.  ;Product:RelevantRequirements
75;Sense of community as found on collaboration, networking, and importance of initiative.;Press:CommunityIdentity
79;Technical expertise, adequate customer relations;Person:TechnicalSkills
84;1. Our customer understands that this project is very critical for his business.  2. Customer knows that we are professionals in SW engineering because he regularly receives our every-sprint high quality results (project is performing by Agile methodology).  3. Customer trusts us, he is confident that he'll get expected project result.    ;Press:CustomerAwareness
84;1. Our customer understands that this project is very critical for his business.  2. Customer knows that we are professionals in SW engineering because he regularly receives our every-sprint high quality results (project is performing by Agile methodology).  3. Customer trusts us, he is confident that he'll get expected project result.    ;Process:MethodologyFit
84;1. Our customer understands that this project is very critical for his business.  2. Customer knows that we are professionals in SW engineering because he regularly receives our every-sprint high quality results (project is performing by Agile methodology).  3. Customer trusts us, he is confident that he'll get expected project result.    ;Product:HighProductQuality
84;1. Our customer understands that this project is very critical for his business.  2. Customer knows that we are professionals in SW engineering because he regularly receives our every-sprint high quality results (project is performing by Agile methodology).  3. Customer trusts us, he is confident that he'll get expected project result.    ;Press:Trust
129;On time and high quality delivery.;Process:OnTimeDelivery
129;On time and high quality delivery.;Product:HighProductQuality
144;We have built trust and rapport with the customer over time, by using the scrum framework for project delivery, which has garnered more projects with the customer. ;Press:Trust
144;We have built trust and rapport with the customer over time, by using the scrum framework for project delivery, which has garnered more projects with the customer. ;Process:MethodologyFit
210;The client understands that the process of building software is complex and provides clearly what is expected from the product;Press:CustomerAwareness
239;The customers like our products very much. Regularly, we have customers in the office. Strong connection to our sales team which in turn are very tightly coupled to the dev team.;Press:CommunityIdentity
249;Good relationship = good communication;Process:GoodCommunication
283;Close interworkings with customer. Decisions are based on information and best interest.;Process:GoodCollaboration
283;Close interworkings with customer. Decisions are based on information and best interest.;Press:Transparency
292;Good working relationship  Effective technical management of deviations, risks and issues  Trust established through delivery and problem resolution;Process:GoodCollaboration
292;Good working relationship  Effective technical management of deviations, risks and issues  Trust established through delivery and problem resolution;Process:MethodologyFit
292;Good working relationship  Effective technical management of deviations, risks and issues  Trust established through delivery and problem resolution;Press:Trust
341;fluid communication and objectives' alignment;Process:GoodCommunication
412;Frequent and good customer Contacts, proven expertise in the area and using that expertise in order to lower costs and pains for the customer.;Process:GoodCollaboration
416;Communication and communication;Process:GoodCommunication
437;Compliance of expectations. suitable selection of the methodological approach. Approch with high tolerance to changes;Press:CustomerAwareness
