lfdn;v_254;v_281;tag
48;Communication flaws between the project and the customer;Customers often do not specify the requirements enough for developers to understand what needs to be changed/implemented;Input: Communication flaws between the project and the customer
48;Communication flaws between the project and the customer;Customers often do not specify the requirements enough for developers to understand what needs to be changed/implemented;Input: Lack of trust
126;Communication flaws between the project and the customer;Lack of product dev knowledge;People: Complexity of domain
126;Communication flaws between the project and the customer;Lack of product dev knowledge;People: Lack of experience of RE team members
165;Communication flaws between the project and the customer;lack of methodology for collecting requirements;People: Lack of experience of RE team members
444;Communication flaws between the project and the customer;"The customer does not provide timely feedback; customer response delay.";Input: Lack of time
444;Communication flaws between the project and the customer;"The customer does not provide timely feedback; customer response delay.";Input: Missing prioritization by customer
453;Communication flaws between the project and the customer;Not wanting to disturb a customer or following a plan;People: Lack of experience of RE team members
719;Communication flaws between the project and the customer;"Assume an interpretation as correct; not validate the information";People: Lack of experience of RE team members
947;Communication flaws between the project and the customer;customers sometimes misunderstand developers and vice versa;Input: Communication flaws between the project and the customer
947;Communication flaws between the project and the customer;customers sometimes misunderstand developers and vice versa;People: Lack of experience of RE team members
985;Communication flaws between the project and the customer;Having no customers, we had to communicate with users.;Not Codable
1091;Communication flaws between the project and the customer;documentation and internal processes problem ;People: Lack of experience of RE team members
1091;Communication flaws between the project and the customer;documentation and internal processes problem ;People: Documentation overhead
1111;Communication flaws between the project and the customer;unclear rules definition;People: Lack of experience of RE team members
1168;Communication flaws between the project and the customer;Disinterest by some parties;Input: Demotivation
1168;Communication flaws between the project and the customer;Disinterest by some parties;People:Demotivation
1171;Communication flaws between the project and the customer;Lack of customer involvement in the project;Input: Missing customer involvement
1279;Communication flaws between the project and the customer;Our customers are not typically savvy with technology so it can be difficult to determine what they really need;Input: Missing IT project experience at customer side
1331;Communication flaws between the project and the customer;Lack of detail, laziness, application of common sense;People: Weak qualification of RE team members
1347;Communication flaws between the project and the customer;There is no direct and frequent communication;People: Missing direct communication to customer
1351;Communication flaws between the project and the customer;Unsatisfied CUSTOMER;Input: High quality expectation of customer
1351;Communication flaws between the project and the customer;Unsatisfied CUSTOMER;Input: Customer does not formally approve the requirements
1355;Communication flaws between the project and the customer;Lack of communication and lack of interest BY CUSTOMER;Input: Missing customer involvement
1355;Communication flaws between the project and the customer;Lack of communication and lack of interest BY CUSTOMER;Input: Missing communication to customer side
1415;Communication flaws between the project and the customer;LACK OF ABILITY TO EXPRESS IDEAS BY THE CUSTOMER;Input: Customer does not know what he wants
1526;Communication flaws between the project and the customer;Weak domain knowledge;People: Missing domain knowledge
1650;Communication flaws between the project and the customer;The interface between them;Method: Communication flaws between team and customer
1669;Communication flaws between the project and the customer;INFORMATION HIDDEN BY THE CUSTOMER;Input: Conflict of interests at customer side
1844;Communication flaws between the project and the customer;The customer has lack of time;Input: Lack of time
205;Communication flaws within the project team;silo organizataion;Not Codable
231;Communication flaws within the project team;Immature organizational culture;People: Lack of experience of RE team members
387;Communication flaws within the project team;Different goals of  project manager and test manager;People: Poor project management
545;Communication flaws within the project team;culture;People: Lack of experience of RE team members
928;Communication flaws within the project team;Failures in requirements eventually lead to problems throughout the whole production chain.;Method: Incomplete requirements
1006;Communication flaws within the project team;Lack of technical meetings;Method: too many meetings
1012;Communication flaws within the project team;Testing gaps;Method: Missing check of requirements
1062;Communication flaws within the project team;different nationality;People: Language barriers
1101;Communication flaws within the project team;little interaction within the team;People: Miscommunication between RE team
1118;Communication flaws within the project team;Once more, language is often the problem;People: Language barriers
1139;Communication flaws within the project team;Developers are under pressure;People: High workload
1406;Communication flaws within the project team;Many projects / tasks;People: High workload
1441;Communication flaws within the project team;too much workload;People: High workload
1458;Communication flaws within the project team;THE TEAM IS CONFORMED BY technicians from different RESPONDING TO DIFFERENT NEEDS AND NO OTHER COMMUNICATION;People: Miscommunication between RE team
1458;Communication flaws within the project team;THE TEAM IS CONFORMED BY technicians from different RESPONDING TO DIFFERENT NEEDS AND NO OTHER COMMUNICATION;People: Team fluctuation
1918;Communication flaws within the project team;organizational problems of the teams.;Method: Weak qualification of RE team members
1467;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;insufficient effort put in for the requirement analysis;People: Poor requirements elicitation techniques
217;Gold plating (implementation of features without corresponding requirements);poor skill;People: Lack of teamwork skills
259;Gold plating (implementation of features without corresponding requirements);waste of time;People: Demotivation
259;Gold plating (implementation of features without corresponding requirements);waste of time;Input: Demotivation
549;Gold plating (implementation of features without corresponding requirements);Change requests often crop up and sometimes if high priority or you have time constraints they don't get detailed fully/properly;Input: Customer does not know what he wants
549;Gold plating (implementation of features without corresponding requirements);Change requests often crop up and sometimes if high priority or you have time constraints they don't get detailed fully/properly;People: Incomplete requirements
572;Gold plating (implementation of features without corresponding requirements);requirements have been verbalised and not documented ;People: Lack of requirements management
649;Gold plating (implementation of features without corresponding requirements);unrealistic expectations;Input: High quality expectation of customer
661;Gold plating (implementation of features without corresponding requirements);It is a general characteristic of the client;Not Codable
959;Gold plating (implementation of features without corresponding requirements);To meet an urgent request, sometimes we performed implementations that way (fire-fighting);People: Subjective interpretations
1011;Gold plating (implementation of features without corresponding requirements);Individual wishes of employees on the customer side.;Input: Conflicting stakeholder viewpoints
1033;Gold plating (implementation of features without corresponding requirements);It's a great immediate and legacy waste, the overload with what should not be being done, the focus is on value and real needs;Method: Poor project management
1350;Gold plating (implementation of features without corresponding requirements);LACK OF KNOWLEDGE OF CUSTOMER'S EMPLOYEES;Input: Missing engagement by customer
1357;Gold plating (implementation of features without corresponding requirements);DELAYED DELIVERY OF INPUT BY CUSTOMER;Input: Customer does not know what he wants
58;Incomplete or hidden requirements;"business as usual; always worked this way";Input: Customer does not know what he wants
58;Incomplete or hidden requirements;"business as usual; always worked this way";Method: Poor project management
150;Incomplete or hidden requirements;Not enough time and support from the vendor to explore and document all the detailed system requirements ;Method: Incomplete requirements
160;Incomplete or hidden requirements;see above;Not Codable
