lfdn;v_2;tag
1923; Waste Collection and Management;
694;"1 project education + 1 project eCommerce ; industries of project varies ";NotCodable
489;Advertising;Marketing and Advertisement
295;Aerospace;Aerospace
1055;Automation;Automation
1140;Automation;Automation
427;Aviation;Avionics
496;Aviation;Avionics
461;Banking;Finance
485;banking;Finance
1383;Banking;Finance
1820;Banking;Finance
1894;Banking;Finance
955;Banking sector;Finance
165;Big science (particle physics research facilities);NotCodable
1321;Business software;NotCodable
1759;Calendar app;NotCodable
1122;Callcenter;NotCodable
1744;Cloudservices for small and midsize business;NotCodable
1114;Communications;Telecommunication
1115;Consulting;NotCodable
1645;Consumer industry;NotCodable
1929;Contact centers;NotCodable
980;Customer engagement ;NotCodable
239;Data Analysis and Visualization ;NotCodable
119;Defence;Defence
539;Defense;Defence
1347;Developed in the context of a product of diverse applicability;NotCodable
728;development of banking software;Finance
626;Digital Out of the Home;NotCodable
1051;Domain-independent tool support for engineering and assurance of safety-criticla systems;NotCodable
1931;Environment;NotCodable
1962;ERP product;Enterprise resource planning
1688;Film;Media
819;Financial market;Finance
1344;Food industry;NotCodable
1340;Food industry - Custom Software;NotCodable
1928;Fraud detection;NotCodable
985;Gastronomy;Gastronomy and Hospitality
213;GDPR - General Data Protection Regulation;NotCodable
317;Grant management;NotCodable
231;High Tech;NotCodable
1008;HMI;NotCodable
249;Hobby, Entrepreneur, and IoT Projects;NotCodable
1969;I consult to projects in many different sectors.  ;NotCodable
987;ICT;Telecommunication
1164;imports;Sales
957;Information Technology;NotCodable
960;Information Technology;NotCodable
512;Insurance;Finance
758;Internet of Things startup;NotCodable
956;IT;NotCodable
1665;It;NotCodable
1666;IT;NotCodable
1329;IT consulting;NotCodable
1617;IT Outsourcing Services;NotCodable
1849;Low-code Platform;NotCodable
210;marketing;Marketing and Advertisement
1255;Media - sale of subscriptions;Media
1014;medical research;Not codable
926;Mobile;Telecommunication
482;Network management system ;Telecommunication
180;Not for profit;NotCodable
1316;Organizations operational development - process/EA modeling, measuring, dashboarding;NotCodable
1290;Public Access ;NotCodable
1239;Public safety;NotCodable
334;Requirements Engineering;NotCodable
84;Retail;Sales
534;Retail;Sales
1862;retail;Sales
1957;Retail;Sales
570;Robotics;NotCodable
876;Sales system;Sales
48;Satellites;Telecommunication
56;Software Development;NotCodable
735;Sports;NotCodable
1118;System Software;NotCodable
1262;Technology;NotCodable
1842;Technology Independent Software Vendor (ISV);NotCodable
1065;Television/Radio;Media
1354;TOURISM;Tourism
1965;Tourism;Tourism
258;trade;NotCodable
1082;Trade / Retail;Sales
912;We are consultants, so have projects across public and private sectors.;NotCodable
1697;Web development for companies;NotCodable
1423;Websites / APPS;NotCodable
