lfdn;v_345;tag
723; time behaviour;NotCodable
291; using quantified textual requirements;Quantified textual requirements
150; using quantified textual requirements;Quantified textual requirements
144; using quantified textual requirements;Quantified textual requirements
317;(The same);NotCodable
1791;a;NotCodable
849;Acceptance Criteria;Acceptance criteria
114;additional tag in the requirement in IMS is showing if it's a functional or non-functional requirement;NotCodable
952;after transforamation;NotCodable
929;any documentation with textual description of the requirement vision document.;Textual requirements
213;As a textual requirements in document or a system Jira.;Textual requirements
1350;AVAILABLE AT ALL TIMES;NotCodable
1344;AVOID to a maximun extent DELAYS IN THE PROCESSes;NotCodable
304;Basis SLAs, natural language decsription;Service level agreements
304;Basis SLAs, natural language decsription;Textual requirements
1435;BDD and business PROCESS OPTIMIZATION;BDD
1458;because several users can connect simultaneously, resource consumption will be considered;NotCodable
292;Build / test reports;NotCodable
1424;capacity;NotCodable
1741;capacity;NotCodable
1349;Contract and SLA's;Contract
1349;Contract and SLA's;Service level agreements
912;Depending on the system we may develop smoke test expectations and combine smoke and loading to assess impact;NotCodable
1666;diagrams;Diagrams
334;Diagrams and quantified textual requirements;Diagrams
334;Diagrams and quantified textual requirements;Quantified textual requirements
1091;Diagrams and texts;Diagrams
1091;Diagrams and texts;Textual requirements
230;Diagrams, Quantified textual requirements;Diagrams
230;Diagrams, Quantified textual requirements;Quantified textual requirements
1753;Diagrams, tables and textual requirements including performance levels, fault tolerances;Diagrams
1753;Diagrams, tables and textual requirements including performance levels, fault tolerances;Quantified textual requirements
1207;documentation in internal wiki;Textual requirements
1962;Example: recording an invoice with five lines can not take more than 3s;Quantified textual requirements
1255;excel spreadsheet to record KPIs and after implementation make the measurement;Quantified textual requirements
1321;Explicit;NotCodable
785;following some guideline;Following guidelines
851;fullfilment of response times, resource utilization (based on DevOps);Quantified textual requirements
754;Guidelines and parameters documents in wiki;Following guidelines
830;Identify and document technical constraints to ensure performance is optimal - sometimes a trade-off with functional requirements;Constraints
468;In the user stories, as acceptance tests. The client will not accept a delivery if the product does not meet the specified non-functional requirements.;User story acceptance tests
856;it is explicit in the technical proposal which is designed as a requirements document.;Textual requirements
1831;load testing, diagrams, measurable textual requirements;Quantified textual requirements
