lfdn;v_348;tag
291; using quantified textual requirements;Quantified textual requirements
1327;-;NotCodable
126;Analysis;NotCodable
1761;architecture digram;Architecture diagram
795;Avoidance of clinical risk appears in plenty of our user stories ( so that I can be sure I'm providing the appropriate treatment  etc.);User stories
420;backup plans;Backup plans
952;before and after transformation;NotCodable
1669;COMMUNICATION, NATURAL LANGUAGE;Textual requirements
1091;Diagrams and texts;Diagrams
1091;Diagrams and texts;Textual requirements
355;different IT systems;NotCodable
1423;DISASTER REDUCTION;NotCodable
1424;DISASTER REDUCTION;Not 
1482;DOCUMENTATION OF ERRORS;Error documentation
1417;DOES NOT APPLY;NotCodable
304;Error scenarios;Error scenarios
1406;Explicit fields in doors with links to safety documentation;NotCodable
785;following some guidelines;Following guidelines
150;following specific guidelines and standards;Following guidelines
150;following specific guidelines and standards;Following standards
203;freedom of risk;NotCodable
292;HARA;HARA
230;I don't really deal with this ;NotCodable
479;natural language (sentence patterns) + semi-formal or formal models (ISO 26262);Textual requirements
479;natural language (sentence patterns) + semi-formal or formal models (ISO 26262);Semi-formal and formal models (ISO26262)
1098;Natural language / informal (plain) text;Textual requirements
663;Natural Language / Informal Text;Textual requirements
1723;NO RISK TO HEALTH;Risks
79;Non functional requirements chapter at the end of each concerned story;User stories
446;non-quantified textual requirements;Textual requirements
1239;non-quantified textual requirements;Textual requirements
118;non-quantified textual requirements;Textual requirements
818;non-quantified textual requirements;Textual requirements
81;non-quantified textual requirements & specific standards;Textual requirements
81;non-quantified textual requirements & specific standards;Following standards
1066;quantified text requirements generated from Hazard Analysis and Safety Related Application Conditions of the products;Quantified textual requirements (from Hazard Analysis)
1064;quantified textual requirements;Quantified textual requirements
985;Quantified textual requirements;Quantified textual requirements
427;Quantified textual requirements ;Quantified textual requirements
570;Reference to applicable international standards, quantified textual requirements;Following standards
570;Reference to applicable international standards, quantified textual requirements;Quantified textual requirements
1204;Review of requirements from client and written in doc;Textual requirements
221;risk;Risks
984;Risk Analysis;Risks
879;risk integrations;Risks
119;SIL;SIL
182;Specific guidelines standard or practice;Following guidelines
182;Specific guidelines standard or practice;Following standards
1290;Specifications;NotCodable
170;spread sheet;NotCodable
444;State machine and structured list of requirements;State Machine
444;State machine and structured list of requirements;Structured requirements
1031;structured list of requirements;Structured requirements
199;Tagged Requirements get extra attention.  Mil style Safety Analysis.;Tagged requirements
569;Text;Textual requirements
1014;text;Textual requirements
1008;Text;Textual requirements
1820;Text;Textual requirements
147;textual;Textual requirements
332;textual;Textual requirements
1402;Textual;Textual requirements
58;textual (templates);Textual requirements
297;Textual requirements;Textual requirements
750;Textual requirements and diagrams;Textual requirements
750;Textual requirements and diagrams;Diagrams
183;Textual, diagrams, standard;Textual requirements
183;Textual, diagrams, standard;Diagrams
183;Textual, diagrams, standard;Following standards
1021;The system must be able to identify a hardware self-heating thus connecting the cooling area.;NotCodable
912;This usually forms part of the risk assessment and mitigation analysis at the beginning of the project, revised at stage gates;Risks
1291;using non-quantified textual requirements;Textual requirements
511;using non-quantified textual requirements;Textual requirements
278;using non-quantified textual requirements;Textual requirements
149;using non-quantified textual requirements, using quantified textual requirements;Textual requirements
149;using non-quantified textual requirements, using quantified textual requirements;Quantified textual requirements
120;using quantified textual requirements;Quantified textual requirements
1141;using quantified textual requirements;Quantified textual requirements
165;using semi-quantified textual requirements ( shall-statements ) in reference to safety rules;Semi-quantified textual requirements
1620;We are currently working on refining this.;NotCodable
1354;we do not document, due to the reduction of documentation;Not documented
