lfdn;v_350;tag
1341; it is not documented;Not documented
291; using quantified textual requirements;Quantified textual requirements
150; using quantified textual requirements;Quantified textual requirements
144; using quantified textual requirements, prototypes, storyboards;Quantified textual requirements
144; using quantified textual requirements, prototypes, storyboards;Prototypes
144; using quantified textual requirements, prototypes, storyboards;Storyboards
317;(The same);NotCodable
1161;A non-trained user should be able to run the processes correctly.;NotCodable
926;acceptance criteria described in the User story;Acceptance criteria in user stories
203;accessibility, user interface aesthetics;NotCodable
1761;architecture digram;Architecture diagram
213;As a textual requirements in document or a system Jira.;Textual requirements
1065;Atlassian Jira;NotCodable
1165;BASED ON JACOB NIELSEN's heuristics ;Nielsen heuristics based
952;before and after transformation;NotCodable
929;Casual documentation with textual description of the requirement in a vision document.;Textual requirements
864;common textual language and  navigation diagrams;Textual requirements
864;common textual language and  navigation diagrams;Navigation diagrams
570;Company guidelines, quantified and non-quantified textual requirements;Guidelines
570;Company guidelines, quantified and non-quantified textual requirements;Quantified textual requirements
570;Company guidelines, quantified and non-quantified textual requirements;Textual requirements
178;company standards incl specs for handicapped people  ;Company standard
41;Customer reports on prototypes;Prototypes
728;Diagrams;Diagrams
1804;Diagrams;Diagrams
1894;Diagrams user story, mockups, complementary text;User stories
1894;Diagrams user story, mockups, complementary text;Prototypes
1894;Diagrams user story, mockups, complementary text;Textual requirements
586;Diagrams, Guideline, policy and practise;Diagrams
586;Diagrams, Guideline, policy and practise;Guidelines
1013;Diagrams, User Stories;Diagrams
1013;Diagrams, User Stories;User stories
1718;diagrams, videos;Diagrams
1718;diagrams, videos;Videos
1705;Error protection, ACCESSIBILITY;NotCodable
453;Esthetic;NotCodable
1698;Esthetic of the USER INTERFACE;Prototypes
1695;Esthetic, OPERABILITY;NotCodable
437;following a guideline, standard, or specific practice;Following guidelines
437;following a guideline, standard, or specific practice;Following standards
1139;following Microsoft CRM standard;Following Microsoft CRM standard
785;following some guidelines;Following guidelines
1340;Friendly interface;NotCodable
1810;Group review of UI mockups;Prototypes
830;GUI Style Guide which includes accessibility requirements that apply to all end user UIs;Styleguide
