lfdn;v_169;tag;category
30;Currently we can provide what customers requires but we do not know whether these are the best solutions or not.;feedbackGoodCustomer;press
35;some specifications may got lost throught iterations;notCodable;notCodable
41;We are still in the phase of gathering requirements. It is going well so far, but there are a few unclear points that I'd like to see clarified soon.;notCodable;notCodable
75;Because it is working;notCodable;notCodable
79;Everything is standardized and documented and discussed.;processStructured;process
79;Everything is standardized and documented and discussed.;documentationSufficient;process
79;Everything is standardized and documented and discussed.;teamCommuncationSane;people
84;Our developers start develop each user story without questions, all requirements are clear for them. ;requirementsClear;product
84;Our developers start develop each user story without questions, all requirements are clear for them. ;requirementsImplementedStraight;process
91;at the moment everything works finde;notCodable;notCodable
106;Stakeholders were clear on their needs and there wasn't much changes;stakeholderClearRequests;people
120;Shared with main stakeholders;notCodable;notCodable
129;Good participation and engagement from product owner and business stakeholders.;stakeholderInvolvement;people
144;It's lightweight, and gets just enough information needed to execute upon, at just the right time. It does not waste valuable time assuming that we can know everything about the project in advance. The nature of requirements written as user stories lends itself well to business participation by the product owner. Acceptance criteria in support of the user story likewise lend themselves well to the defining of test cases.;processLightweight;process
144;It's lightweight, and gets just enough information needed to execute upon, at just the right time. It does not waste valuable time assuming that we can know everything about the project in advance. The nature of requirements written as user stories lends itself well to business participation by the product owner. Acceptance criteria in support of the user story likewise lend themselves well to the defining of test cases.;informationAid;process
144;It's lightweight, and gets just enough information needed to execute upon, at just the right time. It does not waste valuable time assuming that we can know everything about the project in advance. The nature of requirements written as user stories lends itself well to business participation by the product owner. Acceptance criteria in support of the user story likewise lend themselves well to the defining of test cases.;stakeholderInvolvement;people
160;There should be more non-functional requirements, but the customer often discusses about the need of that, becaus it costs a lot of money.    It's always hard to argue to spend so much time in the RE phase of the project.;notCodable;notCodable
167;Enough freedom to get work done  + Good processes + tools make sure nothing falls through the cracks.  + Fast iterations and (almost) immediate customer feedback;corporateFreedom;press
167;Enough freedom to get work done  + Good processes + tools make sure nothing falls through the cracks.  + Fast iterations and (almost) immediate customer feedback;processAdequate;process
167;Enough freedom to get work done  + Good processes + tools make sure nothing falls through the cracks.  + Fast iterations and (almost) immediate customer feedback;toolsAdequate;product
167;Enough freedom to get work done  + Good processes + tools make sure nothing falls through the cracks.  + Fast iterations and (almost) immediate customer feedback;feedbackLoops;press
182;Goal is being met;goalsReached;process
183;We have a good balance between textual requirements and models.   ;artefactsBalance;product
203;Basically the requirements engineering could be done according to the requirements management plan formally approved and accepted by the customer.;processAdequate;process
205;We have full-time BAs who use templates and our stakeholders respect the rigor of the elicitation process;staffAdequate;people
205;We have full-time BAs who use templates and our stakeholders respect the rigor of the elicitation process;stakeholdersWelcomeRE;people
215;good combination of text and visualization techniques  appropriat level of details;toolsAdequate;product
249;I've used any and all techniques that I have learned in school and indy projects and feel the requirements match my visual presentation of the project;knowledgeApplied;people
249;I've used any and all techniques that I have learned in school and indy projects and feel the requirements match my visual presentation of the project;requirementsConforming;produt
278;Because business process analysis was executed to define the requirements. ;processAdequate;process
291;The DevOps team has control over what is live (in production);teamInControl;people
304;We developed from a lose kind of desciption to a more detailed process and templates. And established quality criterias both for documenting and testing, still a lot to do to reach a state of  perfectness  but on a rather good way;processStructured;process
310;Because I planned it according to the information given in the exam materials of CPRE Foundation & Advanced Level.;knowledgeApplied;people
313;The processes in place allow me to ensure that the customer's requirements are both implemented and tested adequately.;processAdequate;process
317;The SL-07 requirements are well suited for COTS-based solutions, since they don’t specify what the system shall do, but only what it will be used for.  Stakeholders can understand the requirements and explain what they miss.   The SL-07 way of writing requirements is around five times faster than traditional approaches.   The requirements are around 1/5 in lenghth.  We could trace the business goals to specific requirements, in that way ensuring that we cover the goals.   ;processImplementedStraightforward;process
317;The SL-07 requirements are well suited for COTS-based solutions, since they don’t specify what the system shall do, but only what it will be used for.  Stakeholders can understand the requirements and explain what they miss.   The SL-07 way of writing requirements is around five times faster than traditional approaches.   The requirements are around 1/5 in lenghth.  We could trace the business goals to specific requirements, in that way ensuring that we cover the goals.   ;stakeholderClearRequests;people
317;The SL-07 requirements are well suited for COTS-based solutions, since they don’t specify what the system shall do, but only what it will be used for.  Stakeholders can understand the requirements and explain what they miss.   The SL-07 way of writing requirements is around five times faster than traditional approaches.   The requirements are around 1/5 in lenghth.  We could trace the business goals to specific requirements, in that way ensuring that we cover the goals.   ;stakeholderInvolvement;people
317;The SL-07 requirements are well suited for COTS-based solutions, since they don’t specify what the system shall do, but only what it will be used for.  Stakeholders can understand the requirements and explain what they miss.   The SL-07 way of writing requirements is around five times faster than traditional approaches.   The requirements are around 1/5 in lenghth.  We could trace the business goals to specific requirements, in that way ensuring that we cover the goals.   ;requirementsImplementedStraight;process
