lfdn;v_169;tag
30;Currently we can provide what customers requires but we do not know whether these are the best solutions or not.;
35;some specifications may got lost throught iterations;
41;We are still in the phase of gathering requirements. It is going well so far, but there are a few unclear points that I'd like to see clarified soon.;
75;Because it is working;
79;Everything is standardized and documented and discussed.;
84;Our developers start develop each user story without questions, all requirements are clear for them. ;
91;at the moment everything works finde;
106;Stakeholders were clear on their needs and there wasn't much changes;
120;Shared with main stakeholders;
129;Good participation and engagement from product owner and business stakeholders.;
144;It's lightweight, and gets just enough information needed to execute upon, at just the right time. It does not waste valuable time assuming that we can know everything about the project in advance. The nature of requirements written as user stories lends itself well to business participation by the product owner. Acceptance criteria in support of the user story likewise lend themselves well to the defining of test cases.;
160;There should be more non-functional requirements, but the customer often discusses about the need of that, becaus it costs a lot of money.    It's always hard to argue to spend so much time in the RE phase of the project.;
167;+ Enough freedom to get work done  + Good processes + tools make sure nothing falls through the cracks.  + Fast iterations and (almost) immediate customer feedback;
182;Goal is being met;
183;We have a good balance between textual requirements and models.   ;
203;Basically the requirements engineering could be done according to the requirements management plan formally approved and accepted by the customer.;
205;We have full-time BAs who use templates and our stakeholders respect the rigor of the elicitation process;
215;good combination of text and visualization techniques  appropriat level of details;
249;I've used any and all techniques that I have learned in school and indy projects and feel the requirements match my visual presentation of the project;
278;Because business process analysis was executed to define the requirements. ;
291;The DevOps team has control over what is live (in production);
304;We developed from a lose kind of desciption to a more detailed process and templates. And established quality criterias both for documenting and testing, still a lot to do to reach a state of  perfectness  but on a rather good way;
310;Because I planned it according to the information given in the exam materials of CPRE Foundation & Advanced Level.;
313;The processes in place allow me to ensure that the customer's requirements are both implemented and tested adequately.;
317;The SL-07 requirements are well suited for COTS-based solutions, since they don’t specify what the system shall do, but only what it will be used for.  Stakeholders can understand the requirements and explain what they miss.   The SL-07 way of writing requirements is around five times faster than traditional approaches.   The requirements are around 1/5 in lenghth.  We could trace the business goals to specific requirements, in that way ensuring that we cover the goals.   ;
330;It allows me to swiftly bring tangible software requirements to continue iterating without devoting a great effort to document the requirements as these are prone to change.;
332;Because of our pre-investement, we have proven to reduce the risk of error, saving a lot of time. Relatively easy to manage customer expectations due to their involvement;
364;a detailed proceeding how to do what related to writing a good documentation  ;
365;We use Pivotal Tracker as a backlog tool and keep all user stories in there. We do not keep documents of requirements or update anything.;
370;collaboration within some departments could be enhanced ;
372;The approach fit the capacities and needs of our customer.;
377;Requirements engineering is generally undertaken fairly effectively, whether that is through documenting details requirements as part of a Waterfall project or Epics and User Stories in an Agile project.  ;
387;Because requirements specification take the view point of tester and developer into account.   However the quality depends on the analysts in the different Project.;
412;It is working very good. All stakeholders are happy with the way we handle requirements and it is now a built in  way of working  in the Project which every one follows and understands.;
416;Good teamwork and Test leader;
429;The requirements are mostly well though through and often well written.;
437;We have good results in time and quality Low demand for changes in user testing We achieved good stakeholder involvement;
482;We are able to understand the customer perspective with our requirement gathering process , in case of any doubts we ask for clarification immediately through email or on a weekely call ;
502;Everything goes smoothly and there is communication between all the teams. Everyone knows what's going on, and why we are doing what we are doing.;
506;it is useful;
511;I think we have found optimal level of granularity. ;
512;I feel like the method of trusting that the code is the requirements, and focusing on building the right thing and validating it iteratively, is giving the best experience for the user who will receive what they want, in order of priority, where changing something is no problem. The requirements are user stories which are functionality which belong to the entire team. This is how it should be. ;
518;At some point in the past, you were likely not fully satisfied with your project's requirements engineering. If anything, what happened to make you satisfied? ;
539;If requirements testing is satisfactory and the team sends it to the client, this rarely calls for malfunction;
541;Because the customer is satisfied;
548;It's OK, but can be better.;
549;Always room for improvement. Time constraints are always a feature e.g. need to begin development phase;
569;Process: very direct open communication with the stake holders (incl. users, project management, developers, system architect)  Documents: Very clear documents, good overview, using many sketches and graphics, detailed in the important areas. Another important aspect is that is does not take away the freedom of the developers to make good use of the development tools and frameworks. So the documents aim to support the development process, not to hinder it.  ;
573;Requirements analysis and collection is not an exact science and is never perfect. I work from a number of base principles that recognise the dynamic nature of dealing with complex problems in a business facing project. this includes making a distinction between 'tame' (well-defined_ problems and 'wicked' (ambiguous) problems. Most issues you face in the real world fall into the latter category and require very well matured analysis and interpersonal skills. These hard difficult to find skills in IT.;
586;we work one step at the time, are using PRINCE2 for planning work in stages, controlling a stage and managing delivery in each stage. Looking at risks, change reviews etc ;
626;The requirements are a way to create a share understanding through collaboration.;
676;the objectives are met;
683;Because our systems today have no significant changes after giving the deliverable to the customer;
684;We have a good knowledge with pur customer and understand their needs;
694;Only get to the point of  satisfied  because I like the flexibility that Agile Methodologies give me to manage the deliverables and their documentation BUT   to make it work efficiently you need a lot of time with the same team that knows each other in advance + product owner + project which I did a couple of times BUT  the majority of times I work on new teams & customers with different level of knowledge and buy-in of the methodology agreed to use;
723;Because feedback is fast;
729;a very good job was done withint the allotted time.;
742;We have process constraints related to legacy system integration, so we utilize agile techniques when we can within a more traditional waterfall process. We are in the phase of delivery and UAT went very well. Production monitoring will allow us to determine if we have met our business goals, and that will retrospectively inform our notion of requirements quality.;
753;Because I consider to lack experience;
754;1. Complete elicitation in the requirement gathering, using vision boards, following lean workshops and using story mappings ;
758;User stories are a simple means for all members to have a common communication ground. They are easy to understand and everyone sees what is necessary.;
774;We have good customer relationship and good domain knowledge, which can give us clear product requirement in most of time. And we could build a prototype in a sort time to discuss with customers. ;
786;The requirements are thorough and easy to follow.;
825;It's thorough, well-documented and customer/end-user has been involved at every step. An SBA on the project team carries out informal reviews while a formal QA is conducted by an SBA from outside the project. Room for improvement would be to be more agile in terms of dealing with the actual developers.;
830;We used a tool to manage our requirements and re-use of common requirements across a variety of components of the solution. Applying updates derived from Change Request means that the documentation reflects the 'as built' solution and is the right tool for testers and ongoing support of the solution in the future.;
839;We are pragmatic and agile, working with customers to ensure feedback is taken into account.;
849;It should be less tied to the contract, and more Lean Startup;
851;Because we have had good results with these practices compared to bad experiences in the past.;
865;It meets our needs;
868;We work with innovative projects where evolution (existence of changes) is something normal. We do not avoid the existence of changes. Use prototyping and detailing requirements only when we are close to its development avoids rework and increases the speed client response.;
870;The way the software implementation is addressed gives us confidence in the product that is being developed;
879;We have been able to achieve the client expectations without a very long and tiresome documentation.;
896;We deliver products with the quality defined by the Institute, on time and with a satisfied client;
918;Because the results achieved so far are satisfactory, but some good practice from other teams also add value to our project.;
921;We do not have a lot of bureaucracy, which makes us more agile in the process.;
926;because we can develop the product from the documentation of requirements that we have and we can also validate its quality;
929;Satisfied with the agility and dynamics given to the projects by an agile identification and treatment of requirements.;
931;Because it is very dynamic and allows us flexibility.;
937;Requirement engineering is done with the people that are using this system in future. Direct Feedback how functionality should be in order to support the correct processes;
945;The requirements are well documented and are the acceptance by the internal client(s) involved is required. This fact brings a security for the software development, avoiding divergent interpretations on what should be produced.;
948;It works, does not impose a huge additional workload, did not encounter issues regarding requirements engineering in the past couple of project years;
952;Requirements engineering denotes both the process of specifying requirements by studying stakeholder needs and the process of systematically analyzing and refining those specifications.but its depends on customer and vendor relationship.;
956;NP;
960;.;
962;There may be process improvement areas.;
968;Until now, it works properly with the time that is available for this management.;
984;Formal process, formal roles, central common tool;
985;Because we spent a good time in the RE process besides using Lean startup noticing short-term results;
987;Happy  feedback from team and customers;
1006;I am not very satisfied, because there are still gaps in the collection of requirements;
1011;It is generally quite well structured and has worked to our satisfaction in many projects.;
1021;It serves the purposes of the project, and provides better visibility of what the system will become.;
