lfdn;v_172
30;Good requirements elicitation leads to next order.
35;haveing excited customers that love to use the product
41;Satisfying requirements engineering help to build a better, more robust piece of software that is easier to maintain and will meet customer needs as adequately as possible. This may extend the project in the short term, but will enhance its maintainability in the long term.
75;sustainability
79;Better productivity, happier teams and customers.
84;Quality of the SW product. 
120;Good common understanding
129;Product development meets business needs.  Most adjustments are minor.
144;Delivering increments of value to our customers in a timely, transparent fashion, based on their requirements.
160;a pretty good technical spec, needful tests and a better estimate for implementation    less missunterstanding between customer, project leader, developers, QA
167;+ Happy engineers  + Happy customer
182;Goal being met!!
183;Its a bit heavy on meeting the project timelines. But we are coping up.   
203;Basically the project engineers could follow the requirements structure stated in the requirements management plan to link in DOORS and ComplyPro.
205;Clearer stakeholder understandings of what they want, expect, need and may receive
215;acceptance and good understanding by business stakeholders
278;In the design phase, we can refer the business process model and guess the implicit requirements.
291;That when the team finaly works, management will destroy that by shuffling with resources and priorities. 
304;Clear communication, quality discussions regarding test specifications, faster and more transparent progress
310;Clear understanding of what will be done by the development team, as the requirements were part of the contract that the customer accepted in the beginning of the project.
313;Confidence in the quality of the product.
317;Suppliers can write excellent proposals with a modest effort (20-30 hours).  Easy to select the winner because we can se what each proposal supports well or poorly.  A good basis for resolving conflicts about who pays when issues came up during Development  A good basis for writing test cases and user manual.  We met the business goals
330;Fulfilling customer expectations, he has what he wants and has asked
332;Smoother handovers, less defects and issues
364;Fast and good development of new products
365;We can work faster.   Sometimes it is hard to remember or find out how something should really work.
370;stress during development phase, last minute modification to deal with, solution delivered not complete in the first release
372;A set of well-documented requirements which are actually well-understood by the requirements owner.
387;More efficient tests  Better product Quality.
412;Better precission in our delivery, smarter architecture due to a broader understanding of the requirements. Easier and quicker to test. Clear acceptance criterias from customer. A comprehensive and detailed way of d3escribing the system comes from the requirement specification.
416;Satisfied Product owner
429;With a well written specification there are less questions or at least east to ask the questions. As a developer we can start working on the requirement without having to think about what questions to ask before taking on a task. 
437;Project on time, profits for the company
482;Better quality software   Faster time to market   Happy customer 
502;Mainly, better communication and less errors.
506;can release product successfully 
511;We are not spending too much time in RE phase and we elicit the details required in direct contact with users.
512;happy customer and happy team AND business value added
539;A customer satisfaction that facilitates relations in a future purchase
541;Development in time and budget
548;Did not understand the question.
549;Ultimately a satisfactory requirements engineering phase should lead to a smoother development phase.
569;The documents help to consolidate the picture of what the software is doing. It is very important, that all stakeholders understand these documents (so clear and easy to read documents are the key). The consequences are that we get good feedback early on. This saves a lot of time and budget. It also helps to create good test cases. And most of the developers hate to read long or abstract analysis documents. 
573;Ensuring requirements meet the needs of the organisation are paramount to project success. All to often, IT projects are measured by the 'on time, on budget, on spec' criteria. As to whether projects meet organisational necessities is often overlooked, turning to the original specs to defend any inadequacies. Billions of dollars are spent each year on IT investment. The return on this investment is hazy at best and clearly missing at worst. this is one of the most overlooked and misunderstood areas of IT.
586;It makes it easier to work together with customer and achieve results
626;Better outcome and value added to the product.
676;the objectives are met
683;Diminishing resources such as time. Get quality products that meet customer needs
684;A better and easier work for us
694;The result I aim to get from structuring how we collect and document requirements is to  - reduce spending time on building the wrong thing  - be able to quickly change requirements   - get a clear communication among all stakeholders
723;User's　acceptance
729;Rework low in advanced stages, thus low cost of rework.
742;Business goal realization.
753;I consider it is essential to know the user experience for satisfactory requirements elicitation
754;better productivity in the sprints  better acceptance of user stories  better time to market
758;We are more focused as a team on the tasks at hand.
774;Happy customer and less work 
