lfdn;v_173
35;the development team got more receptive
41;At least there were some requirements and it was not simply a  build this!  type project where requirements were not well-defined. Some formal requirements are better than none.
75;retrospective highlighted where we could improve and we did 
84;First of all - our customer and our top-managers understand the critical role of business analysts as authors of requirements and they pay more attention to business analysis process.   
106;Changes in requirements happened late into design. Project was able to absorb it without much issues as it was initially budgeted for
120;Lack of reviews
129;Introduced daily backlog grooming sessions with the product owner to get a handle on work scope and MVP.
144;In the first half of my career, I was involved in waterfall development projects. The amount of time it took to elicit, analyze, and document a full software requirements specification was lengthy, no one would actually read the document, and it was outdated by the time it was finished. Changes would constantly happen, and maintaining the spec was time-consuming and costly. 
160;the recognition at management peoples heads, the RE is really useful
167;Key difference: Having competent people on ALL levels.
182;Using use cases and storyboard 
203;In order to avoid being questioned from the customer, sometimes the project engineers modified the values I calculated from DOORS without informing me.
205;We hired full-time BAs
215;changes or modification of requirements during development are hardly transformed into updated test scripts
249;In the past, I didn't know RE was a thing.
278;The requirement engineering itself is immature, but it works. The requirement documents can be the base for designing and for testing.
291;More collaborating with all IT disciplines and other stakeholders.
304;Focussing and accepting roles and processes of Requirements Engineering, evolving from a  jungle  to a strucutre that can cope with INVEST principle
310;I got CPRE-certified
313;Our systems improved to create traceability between requirements, design and test cases.  This gave me confidence that requirements I created were being properly followed through, implemented and verified.
317;Using the problem-oriented requirements SL-07, made everything much easier and more successful.
330;Not involve the development team in sessions of project inception and sprints and backlog planning. Ultimately previous and outsider experiences of using agile methodologies
332;We got help of a local RE & Systems Engineering specialist
364;template for the documentation  people (developers, management etc.) knowing, that writing a documentation is a value for the clients an the (own) company 
370;requirements have been well documented - requirments engineers participate to the solution / development and to the test / qualification of the solution
372;?
377;One key issues is the lack of use of Requirements Management system for detailed Waterfall requirements.  MS Word is the typical weapon of choice which makes maintenance and management of requirements, and incorporation of change requests, very challenging.  We are trying to drive adoption of a tool such as Blueprint that will improve the quality and reusability of requirements, and also deliver greater traceability through to the engineering & development tools.
387;A Problem was - and still is - that anomalies in  the requirements specification are corrected after the test cases have been adapted.
412;Some quality attributes were unknown (reliability). Now we also note requirements for that quality attribute (and others), to make sure we dont miss that when developing functionality (functional requirements).
416;Communication with team and Product owner
429;When the backlog consists of multiple tasks that has requirements that goes against each other. When changes goes to changes to changes without being implemented. Clean backlog is important.
437;High frequency of changes in acceptance testing that made us to work on improving the stakeholder identification and validation techniques
502;The process changed a lot, We started by having zero documentation and it was chaotic. But everything was so fast that we could not afford to spend time writing requirements, it was just code, code, code. We are now in a position where we need to document everything, because the product is bigger and more complex now.
506;change too late
511;Long boring descriptions of processes are replaced with the process models that are much better for workgroups and discussions.
512;changed from waterfall to agile
548;Changes in the process which have been agreed with the customer during retrospectives.
549;Any vagueness or indecision needs to be addressed. Sometimes these are due to unknown costs, external inputs that you don't have full control over. The earlier any vagueness or indecision is addressed - the more satisfied with requirements engineering usually.
