lfdn;v_18;tag
1483; ;
170;Administrator;
754;Agile Coach;
249;All in one solution, I do everything myself;
753;Analyst;
990;Analyst and Developer;
661;Analyst and UX Designer;
900;Business Analyst;
719;CEO;
199;Certification Engineer, System Engineer;
851;CIO;
1291;Data scientist;
955;DBA;
539;design engineer;
1718;Development Functional Manager;
1742;Engagement Manager;
1207;Engineering manager, fulfilling the PM and some other roles.;
518;Frontend Developer;
912;Hybrid  Analyst/Project manager;
30;Observer;
165;PM SE RE Support Engineer (PMO);
896;PMO;
1457;Process analyst;
901;Process Quality Analyst (QA);
909;Product Owner and Requirements Engineer;
184;qa;
1741;Release Train Engineer (acc to Scaled Agile Framework, SAFe);
1184;Requirements Manager;
377;Requirements Tooling Strategy;
1406;Security Manager;
1402;Senior management;
213;Senior System Analyst;
1969;Senior Technical (includes several of the above roles.  Mostly Architect, Developer and Project Lead);
1894;Service designer;
1899;Service designer;
1895;Sponsor;
146;System analyst (requirements engineering included);
1066;System Engineer;
167;Systems Architect;
957;Team Lead;
