lfdn;problem;response
48;Communication flaws between the project and the customer;Customers often do not specify the requirements enough for developers to understand what needs to be changed/implemented
58;Communication flaws between the project and the customer;mistrust
91;Communication flaws between the project and the customer;distributed locations (customer/project team)
106;Communication flaws between the project and the customer;Lack of quality time
120;Communication flaws between the project and the customer;"Geographic ; contract"
126;Communication flaws between the project and the customer;Lack of product dev knowledge
137;Communication flaws between the project and the customer;receiving and implementing customer feedback 
150;Communication flaws between the project and the customer;Communication styles and misinterpretations
160;Communication flaws between the project and the customer;project does not ask the customer WHY or what is the BENEFIT of customers requirements
165;Communication flaws between the project and the customer;lack of methodology for collecting requirements
167;Communication flaws between the project and the customer;Competence
178;Communication flaws between the project and the customer;incorporation of customer (should be PO) not working
179;Communication flaws between the project and the customer;The language used is not compatible
188;Communication flaws between the project and the customer;The Product Owner have zero Technical Knowledge and does not understand important decisions that need to be taken.
208;Communication flaws between the project and the customer;too many customers, located distributed and doing cockfights behind the scenes.
217;Communication flaws between the project and the customer;poor user knowledge
249;Communication flaws between the project and the customer;Customers don't know their role and responsibilities
258;Communication flaws between the project and the customer;due to time needed for discussion which needs to be payed we try to fromulate requirements deeply 
259;Communication flaws between the project and the customer;Requirement mismatch
263;Communication flaws between the project and the customer;"time issues; complexity; different understanding of issues/definitions"
267;Communication flaws between the project and the customer;Not enough time
278;Communication flaws between the project and the customer;lack of trust relationship,  lack of communication capability of the project leader, lack of domain knowledge
295;Communication flaws between the project and the customer;Absence of sponsor
304;Communication flaws between the project and the customer;"Time constraints;staff turnover"
364;Communication flaws between the project and the customer;"the main goal was not accepted by all participants; too many (inappropriate) people are involved "
377;Communication flaws between the project and the customer;"Geographically dispersed; different timezones; cultural challenges"
384;Communication flaws between the project and the customer;"All Business Analysts have business background; Customer has no IT knowledge and lacks some business knowledge "
425;Communication flaws between the project and the customer;Customer does not get what he need.
437;Communication flaws between the project and the customer;Team technicians and managers lack of skills
444;Communication flaws between the project and the customer;"The customer does not provide timely feedback; customer response delay."
446;Communication flaws between the project and the customer;wrong or unknown reqs
453;Communication flaws between the project and the customer;Not wanting to disturb a customer or following a plan
479;Communication flaws between the project and the customer;"Availability; No sense for requirements engineering"
489;Communication flaws between the project and the customer;not enough time
511;Communication flaws between the project and the customer;customer does not allocate enought resources (time)
512;Communication flaws between the project and the customer;not enough contact between the two
518;Communication flaws between the project and the customer;The client is usually lazy and sends the information of what they want a couple of days before the deadlines
525;Communication flaws between the project and the customer;the customer takes for granted that all function reqs are known
534;Communication flaws between the project and the customer;Limited access to the customer, not to be centered at management level to the project
545;Communication flaws between the project and the customer;culture
573;Communication flaws between the project and the customer;Misunderstanding of real business needs
586;Communication flaws between the project and the customer;not having all attending meetings, missing out on communication in different ways to different audinces
637;Communication flaws between the project and the customer;High pressure on business people.
640;Communication flaws between the project and the customer;"Conflicting priorities internally and deployment of changes that impact the project and vice versa; poor customer relations"
663;Communication flaws between the project and the customer;"Missing overview which people are involved; Missing skills of correct communication; Missing structures"
676;Communication flaws between the project and the customer;Follow-up minutes are not made
694;Communication flaws between the project and the customer;customer not available as much as the project needs him 
719;Communication flaws between the project and the customer;"Assume an interpretation as correct; not validate the information"
722;Communication flaws between the project and the customer;Bad management, not proficient analyst wotk
735;Communication flaws between the project and the customer;Changing requirements without consent of the contracting party
742;Communication flaws between the project and the customer;working silos
795;Communication flaws between the project and the customer;"Language barrier ; we're a sub vendor on some parts of the overall project and the main vendor is painful to deal with"
819;Communication flaws between the project and the customer;Lack of a more detailed explanation from the client
849;Communication flaws between the project and the customer;Hostile Customer - high-ranking security officer
856;Communication flaws between the project and the customer;The low customer availability
857;Communication flaws between the project and the customer;Difficulties in the explanations of details fo the VAT Law
