lfdn;v_254;v_281;tag
48;Communication flaws between the project and the customer;Customers often do not specify the requirements enough for developers to understand what needs to be changed/implemented;
126;Communication flaws between the project and the customer;Lack of product dev knowledge;
165;Communication flaws between the project and the customer;lack of methodology for collecting requirements;
444;Communication flaws between the project and the customer;"The customer does not provide timely feedback; customer response delay.";
453;Communication flaws between the project and the customer;Not wanting to disturb a customer or following a plan;
719;Communication flaws between the project and the customer;"Assume an interpretation as correct; not validate the information";
947;Communication flaws between the project and the customer;customers sometimes misunderstand developers and vice versa;
985;Communication flaws between the project and the customer;Having no customers, we had to communicate with users.;
1091;Communication flaws between the project and the customer;documentation and internal processes problem ;
1111;Communication flaws between the project and the customer;unclear rules definition;
1168;Communication flaws between the project and the customer;Disinterest by some parties;
1171;Communication flaws between the project and the customer;Lack of customer involvement in the project;
1279;Communication flaws between the project and the customer;Our customers are not typically savvy with technology so it can be difficult to determine what they really need;
1331;Communication flaws between the project and the customer;Lack of detail, laziness, application of common sense;
1347;Communication flaws between the project and the customer;There is no direct and frequent communication;
1351;Communication flaws between the project and the customer;Unsatisfied CUSTOMER;
1355;Communication flaws between the project and the customer;Lack of communication and lack of interest BY CUSTOMER;
1415;Communication flaws between the project and the customer;LACK OF ABILITY TO EXPRESS IDEAS BY THE CUSTOMER;
1526;Communication flaws between the project and the customer;Weak domain knowledge;
1650;Communication flaws between the project and the customer;The interface between them;
1669;Communication flaws between the project and the customer;INFORMATION HIDDEN BY THE CUSTOMER;
1844;Communication flaws between the project and the customer;The customer has lack of time;
205;Communication flaws within the project team;silo organizataion;
231;Communication flaws within the project team;Immature organizational culture;
387;Communication flaws within the project team;Different goals of  project manager and test manager;
545;Communication flaws within the project team;culture;
928;Communication flaws within the project team;Failures in requirements eventually lead to problems throughout the whole production chain.;
1006;Communication flaws within the project team;Lack of technical meetings;
1012;Communication flaws within the project team;Testing gaps;
1062;Communication flaws within the project team;different nationality;
1101;Communication flaws within the project team;little interaction within the team;
1118;Communication flaws within the project team;Once more, language is often the problem;
1139;Communication flaws within the project team;Developers are under pressure;
1406;Communication flaws within the project team;Many projects / tasks;
1441;Communication flaws within the project team;too much workload;
1458;Communication flaws within the project team;THE TEAM IS CONFORMED BY technicians from different RESPONDING TO DIFFERENT NEEDS AND NO OTHER COMMUNICATION;
1918;Communication flaws within the project team;organizational problems of the teams.;
1467;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;insufficient effort put in for the requirement analysis;
217;Gold plating (implementation of features without corresponding requirements);poor skill;
259;Gold plating (implementation of features without corresponding requirements);waste of time;
549;Gold plating (implementation of features without corresponding requirements);Change requests often crop up and sometimes if high priority or you have time constraints they don't get detailed fully/properly;
572;Gold plating (implementation of features without corresponding requirements);requirements have been verbalised and not documented ;
649;Gold plating (implementation of features without corresponding requirements);unrealistic expectations;
661;Gold plating (implementation of features without corresponding requirements);It is a general characteristic of the client;
959;Gold plating (implementation of features without corresponding requirements);To meet an urgent request, sometimes we performed implementations that way (fire-fighting);
1011;Gold plating (implementation of features without corresponding requirements);Individual wishes of employees on the customer side.;
1033;Gold plating (implementation of features without corresponding requirements);It's a great immediate and legacy waste, the overload with what should not be being done, the focus is on value and real needs;
1350;Gold plating (implementation of features without corresponding requirements);LACK OF KNOWLEDGE OF CUSTOMER'S EMPLOYEES;
1357;Gold plating (implementation of features without corresponding requirements);DELAYED DELIVERY OF INPUT BY CUSTOMER;
58;Incomplete or hidden requirements;"business as usual; always worked this way";
150;Incomplete or hidden requirements;Not enough time and support from the vendor to explore and document all the detailed system requirements ;
160;Incomplete or hidden requirements;see above;
364;Incomplete or hidden requirements;"not enough time for doing a complete RE; RE was done by the way";
427;Incomplete or hidden requirements;Too little time spent in the pre-study phase for some areas;
479;Incomplete or hidden requirements;"Implicit knowledge; No teaching of the team members in requirements engineering";
524;Incomplete or hidden requirements;Elicitation not realized correctly;
534;Incomplete or hidden requirements;Little time;
626;Incomplete or hidden requirements;Lack of domain knowledge;
847;Incomplete or hidden requirements;Not enough prototyping and testing in early stages ;
851;Incomplete or hidden requirements;the lack of compromise of stakeholders or the assignment of wrong people to that function lead to the situation that when end users start using the system unwanted requirements are discovered;
856;Incomplete or hidden requirements;little customer availability, short timeframe to perform the analysis and delivery of the product, making the specification not very accurate;
870;Incomplete or hidden requirements;inexperienced Systems Analyst;
909;Incomplete or hidden requirements;Lack of immersion in the business and domain areas, including by the customer;
912;Incomplete or hidden requirements;Often because the business sponsor underestimates the process impacts, and omits a stakeholder or stakeholder group;
990;Incomplete or hidden requirements;Delay between the requirements gathering and enforcement;
1141;Incomplete or hidden requirements;missing experience on existing solutions on both sides customer and also concrator ;
1221;Incomplete or hidden requirements;the client does not detail out the whole process. sometimes it is necessary to observe;
1225;Incomplete or hidden requirements;No review by the customer;
1289;Incomplete or hidden requirements;Do to he leak of expereinced business specialists often onl y simple cases are in discussion;
1426;Incomplete or hidden requirements;requirements are formulated by customer, who has little or no experience;
1455;Incomplete or hidden requirements;MEETING FAILED REQUIREMENTS;
1482;Incomplete or hidden requirements;BAD COMMUNICATION;
1805;Incomplete or hidden requirements;Customer not used to formalize requirements;
1840;Incomplete or hidden requirements;more related to not all are aware of the requirements, lack of communication;
1894;Incomplete or hidden requirements;Normal result when working with successive prototyping steps where the requirements are successively deepened;
