lfdn;problem;reason
35;Communication flaws between the project and the customer;lack of time
58;Communication flaws between the project and the customer;missing information
91;Communication flaws between the project and the customer;unclear requirements
106;Communication flaws between the project and the customer;Schedule overrun
120;Communication flaws between the project and the customer;Delay
126;Communication flaws between the project and the customer;Risk for the dev
150;Communication flaws between the project and the customer;Delays in schedule and scope changes
160;Communication flaws between the project and the customer;implications by project people 
165;Communication flaws between the project and the customer;delays, budget overruns, sometimes reduction of deliverable performance (rarely)
166;Communication flaws between the project and the customer;frustration on both sides
167;Communication flaws between the project and the customer;"unhappy customer; building the wrong product"
178;Communication flaws between the project and the customer;requirements prepared pretty late
179;Communication flaws between the project and the customer;poorly understood requirements
188;Communication flaws between the project and the customer;"Delays in development; Demotivation in Dev Team"
208;Communication flaws between the project and the customer;One-Liner requirements with time pressure and unclear assumptions
217;Communication flaws between the project and the customer;development of unusable system
249;Communication flaws between the project and the customer;Doing same work multiple times
258;Communication flaws between the project and the customer;"more and more writing of specifications; long documentation cycles in which we try to specify things but when we're finished the basics already changed so we need to adapt again"
259;Communication flaws between the project and the customer;Requirement mismatch
263;Communication flaws between the project and the customer;late sigh-off
267;Communication flaws between the project and the customer;Lossless in information 
278;Communication flaws between the project and the customer;Insufficient support by customer
304;Communication flaws between the project and the customer;phase too long for requirements
364;Communication flaws between the project and the customer;"project takes twice as long as previously planned; budget increases; everybody is annoyed"
377;Communication flaws between the project and the customer;Lack of clarity for requirements
384;Communication flaws between the project and the customer;"great effort spent in clarification; risk that the software does not meet requirements"
425;Communication flaws between the project and the customer;Customer does not get what he need.
437;Communication flaws between the project and the customer;not meeting goals
444;Communication flaws between the project and the customer;Delays and downtime
446;Communication flaws between the project and the customer;delivery impact
453;Communication flaws between the project and the customer;late problem detection
479;Communication flaws between the project and the customer;Communication Rules
489;Communication flaws between the project and the customer;bad customer acceptance
511;Communication flaws between the project and the customer;Inconsistant requirements
512;Communication flaws between the project and the customer;business value not added to product
518;Communication flaws between the project and the customer;The work has to be rushed
525;Communication flaws between the project and the customer;Builiding the wrong functions
