lfdn;v_297
30;Since systems we developed face the natural environment, several unexpected events occur.  We should establish requirements analysis techniques to deal with requirements related to uncertain environment.   
35; 
41;Nope!
58;Wrong-understood  agility  as a pseudo-solution for deeper problems
76;No
91;Match between requirements and planning. I see many project which can't match requirements to planning items. there is  one big  planning item, that should fulfill all requirements
93;struggle: complex processes, not uniform. The business wants ALL done in the system, which makes it unflexible and hard to maintain. Sometimes it is wise to consider if you really NEED to do certain steps in the system. 
114;use case:   different HW component but same requirement   how shall a requirement document look like in case of having different HW components which have the same requirements.  currently we are copying/sharing the requirements so each requirement can be linked to a certain test case for each HW component.  In case of changes, we have to change on many places. But in case we have only one requirement for all HW components, we cannot garanty that each HW component has tested the requirement.
115;Help to spread the knowledge - especially amongst Managers.  If this could be achieved, most of our problems would be non-existing.
129;None
141;Requirements gathering with virtual teams in short duration (4 hours or less) working sessions is not always efficient. Keeping participants focused is not always possible, leading to many  restarts  during a session while some key participants are multi-tasking.
144;No
160;yes, the tooling aspect. it's often a problem using different tools in RE process from the customers need to implementation task and test cases. #traceability  We do everything within JIRA, but the acceptance by our customers is difficult.
165;RE is not only a SW engineering concern. I guess that all engineering domains may benefit of RE (from civil engineering, to mechanical engineering, electrical engineering, etc.).  The interdisciplinary is growing and the various trades shall share a same (similar?) approach to RE and it is not clear yet.  RE needs to grow in maturity.
167;While competence and skills are more important, the right tools are crucial in scaling. This survey does not touch on this issue at all.
170;no
183;no
199;More of a question to the community:  How can we convince stakeholders that the lack of proper requirements is costly and dangerous.  This is the fundamental problem I see.
203;The responsibility of the requirements engineer and/or requirements manager in projects.
208;no
210;We do not have a formal process
213;I have noticed that when meets researcher and a practitioner in some experience exchange, for example in conference, there are lot of old topic from practitioners and new topics from researchers. And during the discussions there comes a misunderstanding. In the science field we are tended to create new innovations and new ideas for new situations, but we forgot to validate the previous ideas in practice. I'm a researcher also and a practitioner in the same time. And I realize that many RE methods, techniques etc isn't implemented fully in practice. And time after time practitioners came back and realize that the old method have some unanswered questions and the implementation is to complex.   In the result I came to question - do we need to much new innovations? Maybe we need to focus on existing methods and improve them. Maybe we need to make an inventory and think simpler. We need to encourage the practice, we need to improve productivity and support future work. RE practical field are strongly behind the science.    Sorry for my English.  I'm working on such topic like Continuous Requirements Engineering and one of my focus points are used tools and possibility to improve requirements use in future and requirements inheritance. If You are interested in collaboration, I will be glad to cooperate. 
217;none
230;An interesting fact is that in my experience there is no an official Requirements Engineer. Rather, the job of creating requirements is usually given to someone who has years of experience in the project's field. Hence, it would be interesting to know (in future surveys), how the person taking the survey gained his or her experience in the  Requirement Engineering field.
259;No.
