lfdn;v_2;tag
1923; Waste Collection and Management;
694;"1 project education + 1 project eCommerce ; industries of project varies ";
489;Advertising;
295;Aerospace;
1055;Automation;
1140;Automation;
427;Aviation;
496;Aviation;
461;Banking;
485;banking;
1383;Banking;
1820;Banking;
1894;Banking;
955;Banking sector;
165;Big science (particle physics research facilities);
1321;Business software;
1759;Calendar app;
1122;Callcenter;
1744;Cloudservices for small and midsize business;
1114;Communications;
1115;Consulting;
1645;Consumer industry;
1929;Contact centers;
980;Customer engagement ;
239;Data Analysis and Visualization ;
119;Defence;
539;Defense;
1347;Developed in the context of a product of diverse applicability;
728;development of banking software;
626;Digital Out of the Home;
1051;Domain-independent tool support for engineering and assurance of safety-criticla systems;
1931;Environment;
1962;ERP product;
1688;Film;
819;Financial market;
1344;Food industry;
1340;Food industry - Custom Software;
1928;Fraud detection;
985;Gastronomy;
213;GDPR - General Data Protection Regulation;
317;Grant management;
231;High Tech;
1008;HMI;
249;Hobby, Entrepreneur, and IoT Projects;
1969;I consult to projects in many different sectors.  ;
987;ICT;
1164;imports;
957;Information Technology;
960;Information Technology;
512;Insurance;
758;Internet of Things startup;
956;IT;
1665;It;
1666;IT;
1329;IT consulting;
1617;IT Outsourcing Services;
1849;Low-code Platform;
210;marketing;
1255;Media - sale of subscriptions;
1014;medical research;
926;Mobile;
482;Network management system ;
180;Not for profit;
1316;Organizations operational development - process/EA modeling, measuring, dashboarding;
1290;Public Access ;
1239;Public safety;
334;Requirements Engineering;
84;Retail;
534;Retail;
1862;retail;
1957;Retail;
570;Robotics;
876;Sales system;
48;Satellites;
56;Software Development;
735;Sports;
1118;System Software;
1262;Technology;
1842;Technology Independent Software Vendor (ISV);
1065;Television/Radio;
1354;TOURISM;
1965;Tourism;
258;trade;
1082;Trade / Retail;
912;We are consultants, so have projects across public and private sectors.;
1697;Web development for companies;
1423;Websites / APPS;
