lfdn;documentation
1341; it is not documented
1290; Specifications
723; time behaviour
150; using non-quantified textual requirements
150; using non-quantified textual requirements
144; using quantified textual requirements
144; using quantified textual requirements
144; using quantified textual requirements
144; using quantified textual requirements
144; using quantified textual requirements
150; using quantified textual requirements
150; using quantified textual requirements
150; using quantified textual requirements
291; using quantified textual requirements
291; using quantified textual requirements
291; using quantified textual requirements
291; using quantified textual requirements
291; using quantified textual requirements
291; using quantified textual requirements
291; using quantified textual requirements
291; using quantified textual requirements
291; using quantified textual requirements
150; using quantified textual requirements and following specific guidelines and standards
150; using quantified textual requirements and following specific guidelines and standards
144; using quantified textual requirements, interface models
144; using quantified textual requirements, prototypes, storyboards
1484;#VALUE!
1484;#VALUE!
317;(The same)
317;(The same)
317;(The same)
317;(The same)
317;(The same)
317;(The same)
317;(The same)
1327;-
1791;a
1791;a
1791;a
1161;A non-trained user should be able to run the processes correctly.
1810;A standard checklist
1355;ABLE TO MAKE CHANGES
849;Acceptance Criteria
849;Acceptance Criteria
926;acceptance criteria described in the User story
203;accessibility, user interface aesthetics
1423;ADAPTABILITY
1424;adaptability
1667;Adaptability and installation
1159;Adaptability, installability
114;additional tag in the requirement in IMS is showing if it's a functional or non-functional requirement
141;Adhere to the established corporate guidelines
952;after transforamation
1161;All authentication must be based on active directory.
831;All Quantified measures
1350;ALLOWING FOR CHANGES AND UPDATES
126;Analysis
126;Analysis
126;Analysis
126;Analysis
1667;Analysis and ease of reuse
1695;Analytical skills, reusability
545;answered in question above
929;any documentation with textual description of the requirement vision document.
929;any documentation with textual description of the requirement vision document.
929;any documentation with textual description of the requirement vision document.
929;any documentation with textual description of the requirement vision document.
1624;Api docs using swagger and also on confluence
1327;Architdecture document, system specification 
851;Architectural documents
1761;architecture digram
1761;architecture digram
213;As a textual requirements in document or a system Jira.
213;As a textual requirements in document or a system Jira.
213;As a textual requirements in document or a system Jira.
1065;Atlassian Jira
1065;Atlassian Jira
1416;AUTHENTICATION AND INFORMATION security
1756;authentication/authorization mechanism (e.g. Active Directory, Kerberos), need for encrypting data (e.g. databases, connections)
1423;AUTHENTICITY
898;authenticity and integrity
1844;authenticity, confidentiality, integrity
