lfdn;v_350;tag
1341; it is not documented;
291; using quantified textual requirements;
150; using quantified textual requirements;
144; using quantified textual requirements, prototypes, storyboards;
317;(The same);
1161;A non-trained user should be able to run the processes correctly.;
926;acceptance criteria described in the User story;
203;accessibility, user interface aesthetics;
1761;architecture digram;
213;As a textual requirements in document or a system Jira.;
1065;Atlassian Jira;
1165;BASED ON JACOB NIELSEN's heuristics ;
952;before and after transformation;
929;Casual documentation with textual description of the requirement in a vision document.;
864;common textual language and  navigation diagrams;
570;Company guidelines, quantified and non-quantified textual requirements;
178;company standards incl specs for handicapped people  ;
41;Customer reports on prototypes;
728;Diagrams;
1804;Diagrams;
1894;Diagrams user story, mockups, complementary text;
586;Diagrams, Guideline, policy and practise;
1013;Diagrams, User Stories;
1718;diagrams, videos;
1705;Error protection, ACCESSIBILITY;
453;Esthetic;
1698;Esthetic of the USER INTERFACE;
1695;Esthetic, OPERABILITY;
437;following a guideline, standard, or specific practice;
1139;following Microsoft CRM standard;
785;following some guidelines;
1340;Friendly interface;
1810;Group review of UI mockups;
830;GUI Style Guide which includes accessibility requirements that apply to all end user UIs;
162;guideline compatibility;
1011;guides, mockups, diagrams, textual description;
742;high fidelity prototype (We also engage with designers);
230;I don't really deal with this ;
694;In Statement of Work (contract) + User Stories descriptions and acceptance criteria;
468;In the user stories, as acceptance tests. The client will not accept a delivery if the product does not meet the specified non-functional requirements.;
1675;Informally in a wiki;
1079;interface standards and sequencing attributes and actions;
355;JAMA;
1435;JOINT REVIEW AND USER TESTing;
1255;Layout, prototype and Excel worksheet to record KPIs and after implementation make the measurement;
1457;look and feel DOCUMENTED by THE USER;
735;measurable textual requirements;
1082;measurable textual requirements and interface prototyping;
1329;mockup;
1347;mockups;
1923;Mockups, textual requirements;
984;Mockups, User Stories;
839;Must be usable on mobile devices and accessible to all pilot users, feedback taken during and at conclusion of pilot to refine usability requirements;
997;Natural language;
179;Natural language;
461;natural language and standards;
774;natural language, screen shoot;
79;Non functional requirements chapter at the end of each concerned story;
267;Non qualified textual requirements ;
482;Non quantified textual ;
637;non-quantified textual requirements;
188;non-quantified textual requirements;
239;Non-quantified textual requirements;
1055;non-quantified textual requirements;
81;non-quantified textual requirements;
1759;non-quantified textual requirements;
446;non-quantified textual requirements;
1051;Non-quantified textual requirements;
372;non-quantified textual requirements;
310;non-quantified textual requirements;
