lfdn;v_105;v_351;tag
167;We consider relevant non-functional requirements, but what's relevant can change from project to project.;quantified textual requirements;
249;Weak in this area, still learning;Still learning;
268;Quality;Textual requirements;
291;All above (acoording to ISO 9126/25010); using quantified textual requirements;
317;Data conversion;(The same);
332;legal, functional safety, ;textual;
1033;Nenhum em especial, mas qualquer um deles se destacado como especialmente importante pelo PO naquela história;When explained in acceptance criteria;
1114;Nenhum;none;
1194;Los atributos de calidad o requerimientos no funcionales se definen independientemente de los requisitos funcionales u ordinarios.;There are documents of policies, practices, and recommendations and when they can be quantified, they include target measures.;
1755;No documentation;No documentation;
