lfdn;v_5;tag
1064;Access Control (SW and Installations);
205;All aspects of IT support to the enterprise - infrastructure, applications, user interface, storage, etc.;
896;applications for mobile devices;
923;applications for mobile devices;
956;AZURE;
957;Backend support and administration;
1542;E-Commerce Platform and end product for the customer;
82;Electrical lines;
1352;ERP;
118;Hardware subsystem incl. SW;
684;Integrations between systems ;
952;IT Infrastructure and Security;
1449;Maschine controlling software;
170;middleware;
1477;Mobile applications;
295;PLM;
1416;Point of sale software;
119;Power electronics control with FPGA.;
183;Railway Control Systems;
1861;Social Netowrks;
1329;Software Analysis Suite;
1017;Software as a Service;
1896;Software as a Service / Services Platform ;
249;Software Intensive Embedded Systems, FPGA, IoT, Hybrid of last 3 entries;
1676;software-intensive embedded system, web-based software and infrastructure as code.;
163;varies based on the project, and I work on several at a time.  Mostly software to support state agency operations/services for Department of Health;
1618;Web based Software Systems;
1255;Web system;
310;Web-Application;
